ssps,ownerName,ownerScreenId,venueTypes,locationType,country,state,dma,city,zip,adTypes,resolutions,durations,screenName,facing,link,address,avgDwellTime,avgImpressionMultiplier,avgWeeklyImpressions,avgCpm,restrictions,lat,lng,count
Place Exchange,Clear Channel Outdoor Brazil,RIO11,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,Rua Mário Ribeiro Em Frente Ao Hospital Miguel Couto,,1.0,251499,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.977933,-43.223637,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ13,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Rua Visconde De Pirajá, 580, 100m Após Avenida Henrique Dumont",,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9142,-43.1784,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO50,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,21920,"Image, Silent Video",400x600,10,,,,Avenida Lauro Sodre / Shopping Rio Sul,,1.0,215512,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.957,-43.1775,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO44,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22460,"Image, Silent Video",400x600,10,,,,Rua Marques De Sao Vicente - Lado Oposto A Praça Santos Dumont,,1.0,660882,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9749,-43.226,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO8,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,"Avenida Presidente Vargas, Com Avenida Passos",,1.0,511414,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.903085,-43.184194,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ15,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22250,"Image, Silent Video",400x600,10,,,,Avenida Ataulfo De Paiva - Esquina Com Avenida Borges De Medeiros,,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9377,-43.1761,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO66,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Rua Conde De Bonfim Esquina Com Rua General Roca,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9247,-43.2335,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ19,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22081,"Image, Silent Video",400x600,10,,,,Rua Eng Enaldo Cravo Peixoto - Shop Tijuca,,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9865,-43.1965,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO95,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22070,"Image, Silent Video",400x600,10,,,,Avenida Atlantica Esquina Com Rua Constante Ramos,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9753,-43.1875,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO82,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22420,"Image, Silent Video",400x600,10,,,,Avenida Vieira Souto Esquina Com Rua Gomes Carneiro,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9869,-43.198,N/A
